Comerciales	DIA L/V	DIA F/S	Semana	Mes
Comercial 1	42500		212500	850000
Comercial 2	43283		216415	952226
Comercial 3	63000	0	270000	1134000
Comercial 4	81000	0	450000	1890000
Comercial 5	167299	167299	1171091	5186262
Comercial 6	173099	173099	1211696	5366082
Comercial 7	156550	156550	1095853	4853062
Comercial 8	86129		430646	1894844
Comercial 9	321000	321000	2520000	11160000
Comercial 10	60000	0	330000	1386000
Comercial 11	51000	0	462000	2046000
Comercial 12	234000	0	1890000	8370000
Comercial 13	333000	0	2520000	11160000
Comercial 14	117000	117000	840000	3720000
Comercial 15	84000	84000	630000	2790000
Comercial 16	277500	277500	1827000	8091000
Comercial 17	277500	277500	1827000	8091000
Comercial 18	84000	0	450000	1890000
Comercial 19	150000	150000	945000	4185000
Comercial 20	84000	0	450000	1890000
Comercial 21	277500	277500	1827000	8091000
Comercial 22	277500	277500	1827000	8091000
Comercial 23	333000	0	888000	3663000
Comercial 24	277500	277500	1827000	8091000
